"VCCPSINTFP (uV)","VCCPSINTFP (uA)","VCCINTLP (uV)","VCCINTLP (uA)","VCCPSAUX (uV)","VCCPSAUX (uA)","VCCPSPLL (uV)","VCCPSPLL (uA)","MGTRAVCC (uV)","MGTRAVCC (uA)","MGTRAVTT (uV)","MGTRAVTT (uA)","VCCPSDDR (uV)","VCCPSDDR (uA)","VCCOPS (uV)","VCCOPS (uA)","VCCOPS3 (uV)","VCCOPS3 (uA)","VCCPSDDRPLL (uV)","VCCPSDDRPLL (uA)","VCCINT (uV)","VCCINT (uA)","VCCBRAM (uV)","VCCBRAM (uA)","VCCAUX (uV)","VCCAUX (uA)","VCC1V2 (uV)","VCC1V2 (uA)","VCC3V3 (uV)","VCC3V3 (uA)","VADJ_FMC (uV)","VADJ_FMC (uA)","MGTAVCC (uV)","MGTAVCC (uA)","MGTAVTT (uV)","MGTAVTT (uA)","PS Power(W)","PL Power(W)","MGT Power(W)","Total Power(W)"
843,1640,849,321,1818,10,1202,29,850,98,1812,15,1192,161,1793,1,1821,0,1815,24,847,966,850,42,1798,155,1201,21,3292,7,1793,0,897,33,1200,18,1.94356,1.18086,0.184725,3.30914
843,1632,849,321,1818,10,1202,29,851,98,1812,15,1193,161,1795,0,1822,0,1815,24,849,966,848,42,1798,155,1201,21,3293,7,1795,0,897,33,1200,18,1.93698,1.18271,0.18483,3.30452
842,1637,849,321,1817,10,1202,29,851,98,1812,15,1192,161,1793,1,1822,0,1815,24,849,961,848,42,1798,155,1201,21,3293,8,1793,0,898,33,1200,18,1.93938,1.18176,0.188156,3.3093
842,1640,850,321,1818,10,1201,29,851,98,1813,16,1192,162,1795,0,1821,0,1815,24,849,965,848,42,1798,155,1201,21,3293,8,1795,0,898,33,1200,18,1.9434,1.18516,0.189984,3.31854
843,1644,850,321,1817,10,1202,29,851,98,1812,15,1192,161,1793,0,1822,0,1816,24,847,963,848,42,1798,155,1201,21,3293,7,1795,0,897,33,1200,18,1.94727,1.17824,0.18483,3.31033
843,1635,849,321,1817,9,1201,29,850,98,1812,15,1192,161,1793,0,1822,1,1815,24,847,968,850,42,1798,155,1201,22,3293,8,1795,0,897,33,1200,17,1.93749,1.18705,0.186825,3.31137
843,1639,849,321,1818,10,1201,29,850,98,1812,15,1192,161,1793,0,1822,0,1815,24,847,965,848,42,1798,155,1201,21,3292,8,1793,0,897,33,1200,18,1.94269,1.18322,0.188017,3.31392
842,1637,850,321,1817,10,1202,29,850,98,1812,15,1192,160,1793,0,1822,0,1815,24,847,961,848,42,1797,155,1201,22,3293,7,1795,0,897,33,1200,18,1.93851,1.17759,0.184732,3.30083
843,1636,849,321,1818,10,1202,29,850,98,1812,15,1192,161,1793,0,1822,0,1815,24,849,962,848,42,1798,155,1201,22,3293,8,1795,0,897,33,1201,18,1.94019,1.18381,0.188043,3.31204
843,1635,849,321,1818,10,1201,29,851,98,1812,15,1192,161,1795,0,1821,0,1816,24,849,962,848,42,1798,155,1201,21,3292,7,1795,0,897,33,1200,18,1.93934,1.17931,0.184823,3.30347
